1024OptimalCreate	1024OptimalRead	1024WorstCreate	1024WorstRead	2048OptimalCreate	2048OptimalRead	2048WorstCreate	2048WorstRead	4096OptimalCreate	4096OptimalRead	4096WorstCreate	4096WorstRead	8192OptimalCreate	8192OptimalRead	8192WorstCreate	8192WorstRead	16384OptimalCreate	16384OptimalRead	16384WorstCreate	16384WorstRead
0.00019	0.000107	0.002392	0.010884	0.000254	0.000208	0.006853	0.037807	0.000494	0.000453	0.030245	0.189373	0.001084	0.000957	0.11973	0.570217	0.002122	0.002009	0.518646	2.295339
0.000183	0.000169	0.003158	0.006584	0.000201	0.000202	0.007703	0.039144	0.000371	0.00044	0.05351	0.180105	0.000927	0.000936	0.108963	0.570155	0.001741	0.001993	0.435394	2.294858
0.000128	0.000079	0.003356	0.016961	0.000197	0.000217	0.00732	0.035581	0.000383	0.000453	0.05358	0.180009	0.001077	0.00095	0.109266	0.569954	0.001748	0.002003	0.435691	2.292149
0.000142	0.00016	0.0031	0.016565	0.000217	0.000207	0.006982	0.035392	0.000391	0.00045	0.053483	0.179947	0.000841	0.000958	0.109365	0.570451	0.00179	0.002	0.436318	2.294602
0.000181	0.000138	0.002553	0.012341	0.000189	0.000206	0.006996	0.035264	0.000516	0.00045	0.053424	0.179954	0.000803	0.000954	0.109692	0.570044	0.00211	0.002004	0.436558	2.294282
0.000117	0.000097	0.001771	0.009576	0.000182	0.000209	0.006998	0.035352	0.000399	0.000453	0.053516	0.180372	0.00082	0.000956	0.109467	0.569965	0.001894	0.002002	0.435844	2.296904
0.000113	0.000081	0.00174	0.008639	0.000223	0.000208	0.006995	0.035222	0.000398	0.000448	0.053588	0.180124	0.000916	0.000946	0.110435	0.570445	0.001685	0.002004	0.435923	2.291319
0.000097	0.000078	0.001721	0.008639	0.000208	0.000209	0.006993	0.035184	0.000383	0.000453	0.053424	0.18013	0.001047	0.000945	0.108957	0.569822	0.002227	0.002013	0.43601	2.298622
0.000125	0.000084	0.001746	0.008639	0.00019	0.000207	0.006956	0.035254	0.000509	0.000452	0.053347	0.180131	0.000809	0.000952	0.109356	0.584314	0.001928	0.001994	0.438381	2.293207
0.000105	0.000096	0.001656	0.008657	0.000246	0.000205	0.006999	0.035313	0.000483	0.000449	0.053308	0.14547	0.000804	0.000934	0.110024	0.569987	0.002016	0.001992	0.436024	2.294442
0.000195	0.000118	0.00297	0.01204	0.000246	0.000211	0.007002	0.036443	0.000494	0.000447	0.029597	0.180908	0.001015	0.000974	0.111677	0.574844	0.002095	0.002071	0.510225	2.3032
0.000164	0.000176	0.00285	0.009947	0.000182	0.000209	0.007252	0.038248	0.000383	0.000449	0.050362	0.143137	0.001105	0.001048	0.110736	0.570644	0.001872	0.002074	0.442306	2.301225
0.000157	0.000125	0.00281	0.009916	0.000251	0.000217	0.006995	0.035214	0.00039	0.000456	0.02804	0.142064	0.000811	0.000964	0.110582	0.57122	0.002216	0.00207	0.443927	2.300593
0.000162	0.000134	0.002771	0.00989	0.000241	0.000215	0.007052	0.035119	0.000395	0.000451	0.028437	0.156121	0.000903	0.000981	0.110536	0.571097	0.00192	0.002048	0.442895	2.302768
