1024OptimalCreate	1024OptimalRead	1024WorstCreate	1024WorstRead	2048OptimalCreate	2048OptimalRead	2048WorstCreate	2048WorstRead	4096OptimalCreate	4096OptimalRead	4096WorstCreate	4096WorstRead	8192OptimalCreate	8192OptimalRead	8192WorstCreate	8192WorstRead	16384OptimalCreate	16384OptimalRead	16384WorstCreate	16384WorstRead
0.000249991	0.000244418	0.013092775	0.012016821	0.000325304	0.000284142	0.042924244	0.044937573	0.000608478	0.000639195	0.196856524	0.185819763	0.001536404	0.001440544	0.554282716	0.71410699	0.002837037	0.002574479	2.363012415	2.880224803
0.000243013	0.000258331	0.009517752	0.014528266	0.000243038	0.000371567	0.036551924	0.042163255	0.000527418	0.000751354	0.153137536	0.169857068	0.001333369	0.001374095	0.718183034	0.700102632	0.002878175	0.00256259	2.364516775	2.884637932
0.000216006	0.000246583	0.014148089	0.012555403	0.000247166	0.000369655	0.036517691	0.041985492	0.000543193	0.000620965	0.148397033	0.16966799	0.001355178	0.001777917	0.614845752	0.691600407	0.003688652	0.003338904	2.363094175	2.880983283
0.00023362	0.000245465	0.009486788	0.010854177	0.000248984	0.000366521	0.036691495	0.042011022	0.000538673	0.000646113	0.14838664	0.169761158	0.001465771	0.001430527	0.587284308	0.694658111	0.003916306	0.003619655	2.364978327	2.883843806
0.000226875	0.000248481	0.011985724	0.011962428	0.000259057	0.000299181	0.036527889	0.041983164	0.000538398	0.000655805	0.147787342	0.171903228	0.001362379	0.001668315	0.561660952	0.691562689	0.003661215	0.003536981	2.36329365	2.886618807
0.000240791	0.000250795	0.009127053	0.010440767	0.00026921	0.000296709	0.033502214	0.041383326	0.000898151	0.000839869	0.136296235	0.168623864	0.00184981	0.00161021	0.648673165	0.72472951	0.003716304	0.002530814	2.363648292	2.948162363
0.00022103	0.000249102	0.009268536	0.010511039	0.000245078	0.000295398	0.033524523	0.04147459	0.000704125	0.000814361	0.145039484	0.169761774	0.001662262	0.001640816	0.584434474	0.695313061	0.002962486	0.002478637	2.421868097	2.888587775
0.000242416	0.000241558	0.009112809	0.010435474	0.000252415	0.000295913	0.035685225	0.042003817	0.00076746	0.000786862	0.138870698	0.169194142	0.001671551	0.001634471	0.558197397	0.69031262	0.002949798	0.002701746	2.371548275	2.887971985
0.000224481	0.000234581	0.009104182	0.010473664	0.000253693	0.000295802	0.03430261	0.041687647	0.00072851	0.000758021	0.144133393	0.169870929	0.001727669	0.001643954	0.583257565	0.695384163	0.002878642	0.00256512	2.374101741	2.949712146
0.000236735	0.000235705	0.008613701	0.01000979	0.000272176	0.000284083	0.033779959	0.041391026	0.000774607	0.000722515	0.136045271	0.169477451	0.00180935	0.00161221	0.550614807	0.685001918	0.002991647	0.002629265	2.37442015	2.890209414
