1024OptimalCreate	1024OptimalRead	1024WorstCreate	1024WorstRead	2048OptimalCreate	2048OptimalRead	2048WorstCreate	2048WorstRead	4096OptimalCreate	4096OptimalRead	4096WorstCreate	4096WorstRead	8192OptimalCreate	8192OptimalRead	8192WorstCreate	8192WorstRead	16384OptimalCreate	16384OptimalRead	16384WorstCreate	16384WorstRead
0.000746791	0.000391217	0.070938457	0.024746524	0.001328938	0.000675773	0.153484753	0.096503618	0.002915514	0.001496274	0.69121712	0.459902212	0.006153995	0.003253105	2.876422724	1.836085593	0.014763148	0.00867499	x	x
0.000684035	0.000376177	0.036773396	0.023643696	0.001181567	0.000690186	0.146668238	0.095423434	0.002699945	0.001463816	0.68618367	0.41592649	0.006093264	0.004103921	2.655128542	1.87868622	0.015541991	0.006845406	x	x
0.000657409	0.000359357	0.03677623	0.023676391	0.001187784	0.000682056	0.146336071	0.096050012	0.002639278	0.001666165	0.604320028	0.400948539	0.008053755	0.004286774	2.71189489	1.833884979	0.013684966	0.008984569	x	x
0.000586777	0.000348817	0.038293347	0.025529521	0.001196958	0.000692472	0.146638246	0.095983319	0.003555097	0.001964774	0.605281599	0.40256999	0.006433153	0.003164316	2.73762832	1.870115829	0.013861333	0.006818844	x	x
0.000588557	0.000337421	0.038759386	0.023615221	0.001199886	0.000711967	0.146653026	0.095876927	0.003627481	0.001599129	0.604281383	0.402060779	0.005933865	0.003180053	2.789072544	1.89209086	0.01330343	0.006792043	x	x
0.000587509	0.000317498	0.036487903	0.023802037	0.001235861	0.000687439	0.146344012	0.095793901	0.002647701	0.001464485	0.602959906	0.403412583	0.0058473	0.003140287	2.766789727	1.826687822	0.01330166	0.006794852	x	x
0.000538292	0.000315972	0.03612793	0.023383043	0.00118552	0.000689874	0.14617642	0.095961821	0.002633728	0.001472225	0.60018494	0.401444421	0.005945983	0.003399379	3.124429192	2.115906152	0.013311123	0.006866822	x	x
0.000535686	0.000352499	0.036528915	0.023219894	0.001614838	0.000932512	0.146258269	0.096029951	0.00282801	0.002018327	0.603136926	0.422409887	0.005917108	0.003188044	3.151165439	2.316458248	0.013314182	0.006788415	x	x
0.000527408	0.000314793	0.036116617	0.023452591	0.001469108	0.000875563	0.146129659	0.09641521	0.003272993	0.001782466	0.628200361	0.434369702	0.005984295	0.003171528	3.142319526	2.126318787	0.013242803	0.006780861	x	x
0.000539449	0.000318779	0.036104823	0.023912948	0.001492679	0.000875277	0.145508773	0.096747164	0.003689983	0.0016231	0.635211943	0.401418492	0.005970906	0.003176701	3.065870462	1.943406776	0.013301007	0.006795213	x	x
