c-encrypt	c-decrypt	Rust-recursive-encrypt	Rust-recursive-decrypt	Rust-upwrap-encrypt	Rust-upwrap-decrypt
0.00027	0.000105	0.000272344	0.000189549	0.00025855	0.000186281
0.000239	0.000101	0.000205647	0.000105169	0.000316403	0.000190192
0.000232	0.000108	0.000114601	0.000191649	0.000259467	0.000192721
0.000224	0.0001	0.0001337	0.000179247	0.000167838	0.000186389
0.000267	0.000116	0.000225179	0.000182038	0.00029452	0.000119762
0.000244	0.000107	0.000214195	0.000175779	0.00027763	0.000191059
0.000268	0.0001	0.000136436	0.000180837	0.000293664	0.000177391
0.000262	0.000093	0.000124238	0.000182106	0.000269382	0.000114405
0.000253	0.000095	0.000258642	0.000198811	0.000170202	0.000173064
0.00023	0.000102	0.000215263	0.000118678	0.000262549	0.000219245
0.000227	0.000098	0.000150286	 0.000114345	0.000254592	0.000189288
0.000194	0.000098	 0.000299789	 0.000172964	0.000163386	0.000097894
0.000187	0.000106	 0.000176411	 0.000102364	0.000278888	0.000191481
0.000207	0.000107	 0.000153153	 0.000185275	0.00026067	0.000098455
0.000199	0.000105	 0.00019013	 0.000189088	0.00026865	0.000183523
0.000247	0.000105	 0.000276733	 0.000179625	0.000207871	0.000186221
0.000239	0.000094	 0.000272151	 0.000242909	0.000254402	0.000186039
0.000171	0.000093	 0.000355787	 0.000198687	0.000165712	0.000182498
0.00018	0.000118	 0.000153743	 0.000097864	0.000267024	0.000098424
0.000218	0.000106	 0.00026615	 0.000180716	0.000159074	0.000195757
0.000228	0.000108	 0.000160972	 0.000179429	0.000154058	0.00011515
0.000198	0.000108	 0.000171415	 0.00011057	0.000161338	0.000111534
0.000224	0.000107	 0.000152241	 0.000178734	0.000381637	0.000201227
0.000198	0.000107	 0.000318385	 0.000183604	0.000161174	0.000195389
0.000248	0.000116	 0.00016886	 0.000180891	0.000271272	0.000198971
0.000238	0.00009	 0.000166276	 0.000193969	0.000322939	0.000185841
0.000243	0.000049	 0.000395047	 0.000100026	0.000262889	0.000211349
0.000227	0.000061	 0.000266262	 0.000100546	0.0001573	0.000200805
0.000187	0.000049	 0.000270473	 0.000101278	0.000285392	0.000199561
0.000174	0.000107	 0.000153084	 0.000181416	0.000155041	0.000181328
0.000224	0.00006	 0.000254399	 0.000193065	0.000259176	0.000095164
0.000246	0.000045	 0.000177263	 0.000184576	0.000279641	0.000185758
0.000189	0.000096	 0.00027632	 0.000114423	0.000326696	0.000124222
0.000221	0.000051	 0.00026193	 0.000187464	0.000174996	0.000185443
0.000233	0.000051	 0.000278482	 0.000203955	0.000185738	0.000190625
0.00017	0.000031	0.000263252	0.00020103	0.000172751	0.000182614
0.000118	0.000049	0.000111183	0.00009483	0.000263372	0.0001776
0.000224	0.000049	0.000131617	0.000173186	0.000271724	0.000205256
0.000245	0.000052	0.000252442	0.000184806	0.000161075	0.000093947
0.000167	0.000048	0.000209925	0.000101132	0.000262325	0.000094555
0.000215	0.000047	0.000260068	0.00010188	0.000290391	0.000196965
0.000196	0.000049	0.000237295	0.000194171	0.000266623	0.000094944
0.000205	0.000047	0.000134118	0.000186385	0.000426723	0.000210902
0.000225	0.000113	0.000206335	0.000190083	0.000286609	0.000121562
0.000208	0.000049	0.000220862	0.000193594	0.000210356	0.000096272
0.000224	0.0001	0.000232474	0.000100641	0.000161336	0.000239571
0.000172	0.000055	0.000210813	0.00017444	0.000259292	0.000175179
0.00022	0.000216	0.000205324	0.000175259	0.000260288	0.000187962
0.000222	0.000117	0.000207536	0.00009707	0.000160902	0.000097854
0.000213	0.000109	0.00023153	0.000137798	0.000348098	0.000173032
